Name,Found In,Action
Jackie Lee,Cleaner_Fight_Results,Research
Rocky Lee,Cleaner_Fight_Results,Research
Christophe Leninger,Cleaner_Fight_Results,Research
Alberta Cerra Leon,Cleaner_Fight_Results,Research
Kimo Leopoldo,Cleaner_Fight_Results,Research
Frank Lester,Cleaner_Fight_Results,Research
Justin Levens,Cleaner_Fight_Results,Research
David Levicki,Cleaner_Fight_Results,Research
John Lewis,Cleaner_Fight_Results,Research
Jess Liaudin,Cleaner_Fight_Results,Research
Zach Light,Cleaner_Fight_Results,Research
Chris Liguori,Cleaner_Fight_Results,Research
Jake Lindsey,Cleaner_Fight_Results,Research
Lucio Linhares,Cleaner_Fight_Results,Research
Abner Lloveras,Cleaner_Fight_Results,Research
John Lober,Cleaner_Fight_Results,Research
Dileno Lopes,Cleaner_Fight_Results,Research
Steve Lopez,Cleaner_Fight_Results,Research
Jorge Lopez,Cleaner_Fight_Results,Research
Nate Loughran,Cleaner_Fight_Results,Research
Ian Loveland,Cleaner_Fight_Results,Research
Waylon Lowe,Cleaner_Fight_Results,Research
Robert Lucarelli,Cleaner_Fight_Results,Research
Matt Lucas,Cleaner_Fight_Results,Research
Mike Lullo,Cleaner_Fight_Results,Research
Thaddeus Luster,Cleaner_Fight_Results,Research
Stevie Lynch,Cleaner_Fight_Results,Research
Tom Aaron,None,Delete
Hiroyuki Abe,None,Delete
Daniel Acacio,None,Delete
Fabio Aguiar,None,Delete
Edwin Aguilar,None,Delete
Mike Aina,None,Delete
Hitomi Akano,None,Delete
Javi Alanis,None,Delete
Brett Albee,None,Delete
Israel Albuquerque,None,Delete
Juan Alcain,None,Delete
Kenneth Alexander,None,Delete
Olaf Alfonso,None,Delete
Pablo Alfonso,None,Delete
Levi Alford,None,Delete
Amir Aliakbari,None,Delete
Magno Almeida,None,Delete
Estefani Almeida,None,Delete
Mauricio Alonso,None,Delete
Rico Altamirano,None,Delete
Mike Altman,None,Delete
Anthony Alves,None,Delete
Andre Amado,None,Delete
Maiara Amanajas dos Santos,None,Delete
Chris Amarante,None,Delete
Jimmy Ambriz,None,Delete
JJ Ambrose,None,Delete
Bertrand Amoussou,None,Delete
Karl Amoussou,None,Delete
Derek Anderson,None,Delete
Julius Anglickas,None,Delete
Angelo Antonio,None,Delete
Shinya Aoki,None,Delete
Josh Appelt,None,Delete
Erik Apple,None,Delete
Kenji Arai,None,Delete
Art Arciniega,None,Delete
Tristan Arenal,None,Delete
Joey Armstrong,None,Delete
Ricardo Arona,None,Delete
Chalid Arrab,None,Delete
Gilles Arsene,None,Delete
Veta Arteaga,None,Delete
Arman Ashimov,None,Delete
Bruno Assis,None,Delete
Bazigit Atajev,None,Delete
Jose Augusto,None,Delete
David Avellan,None,Delete
Levi Avera,None,Delete
Anthony Avila,None,Delete
Saad Awad,None,Delete
Javy Ayala,None,Delete
Luiz Azeredo,None,Delete
Luciano Azevedo,None,Delete
Jordan Bailey,None,Delete
Bryan Baker,None,Delete
Jin Bala,None,Delete
Stephen Banaszak,None,Delete
Yohan Banks,None,Delete
Junior Barata,None,Delete
Nick Barnes,None,Delete
Chris Barnhizer,None,Delete
Jose Barreto,None,Delete
David Barrios,None,Delete
Ricardo Barros,None,Delete
Sean Bassett,None,Delete
Ryan Bastianelli,None,Delete
Rudy Bears,None,Delete
Salvador Becerra,None,Delete
Jeff Bedard,None,Delete
Eric Bedard,None,Delete
Lyle Beerbohm,None,Delete
Mike Bencic,None,Delete
Karla Benitez,None,Delete
Charles Bennett,None,Delete
Josh Bennett,None,Delete
Joe Benoit,None,Delete
Pat Benson,None,Delete
Len Bentley,None,Delete
Bret Bergmark,None,Delete
Keith Berry,None,Delete
Edson Berto,None,Delete
Anton Berzin,None,Delete
Fernando Bettega,None,Delete
Jeremiah Billington,None,Delete
Scott Bills,None,Delete
Chris Birchler,None,Delete
Simon Biyong,None,Delete
Jason Blackford,None,Delete
David Blanco,None,Delete
Arlene Blencowe,None,Delete
Dashawn Boatwright,None,Delete
Jeremy Boczulak,None,Delete
Jay Bogan,None,Delete
Derek Bohi,None,Delete
Kotetsu Boku,None,Delete
Kyle Bolt,None,Delete
Luc Bondole,None,Delete
Tony Bonello,None,Delete
Marcos Bonilla,None,Delete
Igor Borisov,None,Delete
Chris Bostick,None,Delete
Francois Botha,None,Delete
Gregory Bouchelaghem,None,Delete
Roy Boughton,None,Delete
Rich Bouphanouvong,None,Delete
Mike Bourke,None,Delete
Jess Bouscal,None,Delete
Blake Bowman,None,Delete
Ashe Bowman,None,Delete
ColleyBradford,None,Delete
Michael Bravo,None,Delete
Robert Breslin,None,Delete
Mack Brewer,None,Delete
Marcelo Brito,None,Delete
Drew Brokenshire,None,Delete
Mike Bronzoulis,None,Delete
Lee Brousseau,None,Delete
Dominic Brown,None,Delete
Terrell Brown,None,Delete
Chris Brown,None,Delete
Frederick Brown,None,Delete
Justin Bruckmann,None,Delete
Dennis Bryant,None,Delete
Zak Bucia,None,Delete
Courtney Buck,None,Delete
Francisco Bueno,None,Delete
Lee Kwan Bum,None,Delete
Josh Bumgarner,None,Delete
Shawn Bunch,None,Delete
Josh Burns,None,Delete
Derrick Burnsed,None,Delete
Martin Buschkamp,None,Delete
George Bush,None,Delete
Nick Bustamante,None,Delete
Eduardo Bustillos,None,Delete
Jason Butcher,None,Delete
Goldman Butler,None,Delete
Ian Butler,None,Delete
Raphael Butler,None,Delete
Michael Byrnes,None,Delete
Alvin Cacdac,None,Delete
Travis Calanoc,None,Delete
Ricky Calatayud,None,Delete
Darrion Caldwell,None,Delete
Taylor Callens,None,Delete
Joe Camacho,None,Delete
Ricky Camp,None,Delete
Mike Campbell,None,Delete
Thomas Campbell,None,Delete
Derek Campos,None,Delete
Ronaldo Candido,None,Delete
Jose Canseco,None,Delete
Cody Canterbury,None,Delete
Bo Cantrell,None,Delete
Paul Capaldo,None,Delete
Gina Carano,None,Delete
Dos Caras Jr.,None,Delete
Remo Cardarelli,None,Delete
Phil Cardella,None,Delete
Edgar Cardenas,None,Delete
Ronald Carillo,None,Delete
Don Carlo-Clauss,None,Delete
Tim Caron,None,Delete
Gabriel Carrasco,None,Delete
Cody Carrillo,None,Delete
Roger Carroll,None,Delete
Jonny Carson,None,Delete
Scott Carson,None,Delete
Bruno Carvalho,None,Delete
Rafael Carvalho,None,Delete
Brandon Cash,None,Delete
Bendy Casimir,None,Delete
Joe Cason,None,Delete
Eric Castile,None,Delete
Raul Castillo,None,Delete
Jenna Castillo,None,Delete
Tim Catalfo,None,Delete
Jared Chaffee,None,Delete
Dan Charles,None,Delete
Emilio Chavez,None,Delete
Gabriel Checco,None,Delete
Ion Cherdivara,None,Delete
Mu Bae Choi,None,Delete
Hong Man Choi,None,Delete
Murad Chunkaiev,None,Delete
Steven Ciaccio,None,Delete
Branko Cikatic,None,Delete
Nikolajus Cilkinas,None,Delete
Johnny Cisneros,None,Delete
Mychal Clark,None,Delete
Dominic Clark,None,Delete
John Clarke,None,Delete
RJ Clifford,None,Delete
Darryl Cobb,None,Delete
Dave Cochran,None,Delete
Dakota Cochrane,None,Delete
Marc Cofer,None,Delete
Chris Coggins,None,Delete
Wayne Cole,None,Delete
Devin Cole,None,Delete
Coltin Cole,None,Delete
Ivan Cole,None,Delete
Cortez Coleman,None,Delete
Marcos Conrado Jr.,None,Delete
Jeremiah Constant,None,Delete
Jonathan Contrestano,None,Delete
Mike Cook,None,Delete
Chad Cook,None,Delete
TJ Cook,None,Delete
Dewey Cooper,None,Delete
Brett Cooper,None,Delete
Bill Cooper,None,Delete
Bobby Cooper,None,Delete
Muhsin Corbbrey,None,Delete
Clint Coronel,None,Delete
Henry Corrales,None,Delete
Chad Corvin,None,Delete
Miguel Cosio,None,Delete
Jadson Costa,None,Delete
Guilherme Costa,None,Delete
JR Coughran,None,Delete
Dave Courchaine,None,Delete
Kim Couture,None,Delete
Nikk Covert,None,Delete
Alexander Crispim,None,Delete
Alex Crispin,None,Delete
Jeff Crotty,None,Delete
Chris Culley,None,Delete
Abel Cullum,None,Delete
Everett Cummings,None,Delete
Hugo Cunha,None,Delete
Pat Curran,None,Delete
Gleidson Cutis,None,Delete
Sarah D'alelio,None,Delete
Marcos da Matta,None,Delete
Henrique Da Silva Lopes,None,Delete
Dave Dalgliesh,None,Delete
Richard Dalton,None,Delete
Marko Damiani,None,Delete
Carina Damm,None,Delete
Raymond Daniels,None,Delete
Marques Daniels,None,Delete
Eduardo Dantas,None,Delete
Brian Davidson,None,Delete
Lemont Davis,None,Delete
Justin Davis,None,Delete
Danny Davis,None,Delete
Angel De Anda,None,Delete
Johil de Oliveira,None,Delete
Crezio de Souza,None,Delete
Issac DeJesus,None,Delete
RafaelDel Real,None,Delete
Humberto DeLeon,None,Delete
Israel Delgado,None,Delete
Ante Delija,None,Delete
Jack Della,None,Delete
Justin DeMoney,None,Delete
Thomas Denny,None,Delete
Robert Densley,None,Delete
Booker DeRousse,None,Delete
Cory Devela,None,Delete
John Devine,None,Delete
Thomas Diagne,None,Delete
Rafael Dias,None,Delete
Michael Diaz,None,Delete
Ryan Diaz,None,Delete
Adrian Diaz,None,Delete
Mark Dickman,None,Delete
Josh Diekmann,None,Delete
Kyle Dietz,None,Delete
Ralph Dillon,None,Delete
Drew Dimanlig,None,Delete
Rodolfo Marques Diniz,None,Delete
Helio Dipp,None,Delete
Rico DiSciullo,None,Delete
John Dixson,None,Delete
Anthony Do,None,Delete
Mike Dolce,None,Delete
Dennis Dombrow,None,Delete
OJ Dominguez,None,Delete
John Donaldson,None,Delete
Geronimo dos Santos,None,Delete
Oleksandr Doskalchuk,None,Delete
David Douglas,None,Delete
Damion Douglas,None,Delete
Jordan Dowdy,None,Delete
John Doyle,None,Delete
Edson Drago,None,Delete
Chris Drumm,None,Delete
Antonio Duarte,None,Delete
Joe Duarte,None,Delete
Adin Duenas,None,Delete
Alex Dunworth,None,Delete
Rilley Dutro,None,Delete
Bill Duvall,None,Delete
Maurice Eazel,None,Delete
Vincent Eazelle,None,Delete
Ross Ebanez,None,Delete
Adli Edwards,None,Delete
John Elam,None,Delete
John Paul Elias,None,Delete
Saul Elizondo,None,Delete
Eddy Ellis,None,Delete
Aaron Ely,None,Delete
Sovannahry Em,None,Delete
Aleksander Emelianenko,None,Delete
Marius Enache,None,Delete
Kevin Engel,None,Delete
Alex Enlund,None,Delete
Kenny Ento,None,Delete
Won Jin Eoh,None,Delete
Josh Epps,None,Delete
Tom Erikson,None,Delete
Nick Ertl,None,Delete
Chel Erwin-Davis,None,Delete
Bobby Escalante,None,Delete
Eric Esch,None,Delete
Pro Escobedo,None,Delete
Evan Esguerra,None,Delete
Scott Ettling,None,Delete
Neal Ewing,None,Delete
Joao Paulo Faria,None,Delete
Chance Farrar,None,Delete
Rodney Faverus,None,Delete
JP Felty,None,Delete
Rhadi Ferguson,None,Delete
Bibiano Fernandes,None,Delete
Ron Fields,None,Delete
Anthony Figueroa,None,Delete
Paulo Filho,None,Delete
Brady Fink,None,Delete
Jesse Finney,None,Delete
Jan Finney,None,Delete
Luiz Firmino,None,Delete
Bryanna Fissori,None,Delete
Isi Fitikefu,None,Delete
Cody Floyd,None,Delete
Bobby Flynn,None,Delete
Mal Foki,None,Delete
Matt Foki,None,Delete
AJ Fonseca,None,Delete
Claudionor Fontinelle,None,Delete
Sterling Ford,None,Delete
Codale Ford,None,Delete
Mason Fowler,None,Delete
Brandon Foxworth,None,Delete
Francisco France,None,Delete
Zoila Frausto,None,Delete
Gary Frazier,None,Delete
Jason Freeman,None,Delete
JeremyFreitag,None,Delete
Rafael Freitas,None,Delete
Donavon Frelow,None,Delete
Clay French,None,Delete
Mike French,None,Delete
Artem Frolov,None,Delete
Jesse Fujarczyk,None,Delete
Megumi Fujii,None,Delete
Kazuyuki Fujita,None,Delete
Keisuke Fujiwara,None,Delete
Masakatsu Funaki,None,Delete
Katsuaki Furuki,None,Delete
James Gabert,None,Delete
Gustavo Gabriel,None,Delete
Alavutdin Gadjiev,None,Delete
Brandon Gaines,None,Delete
Travis Galbraith,None,Delete
Zelg Galesic,None,Delete
